date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:30	813773/813773	---M--	200	added ('OK')	application/pdf	etag:%22c6acd-5772ffbbd763a%22	https://sphinx.org.au/images/docs/The-Ark-Documentation---Genomics---Analysis.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The-Ark-Documentation---Genomics---Analysis.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:24:31	14395/14395	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2003:24:31%20GMT	https://sphinx.org.au/the-ark/for-programmers/9-build-the-ark-using-docker	/home/adrianb/websites/The%20Ark/sphinx.org.au/the-ark/for-programmers/9-build-the-ark-using-docker.html	(from https://sphinx.org.au/the-ark/for-programmers)
14:24:32	5473/5473	---M--	403	error ('Forbidden')	text/html	date:Fri,%2003%20Mar%202023%2003:24:32%20GMT	https://sphinx.org.au/the-ark/contact-us/16-the-ark/overview/29-get-the-source-code	/home/adrianb/websites/The%20Ark/sphinx.org.au/the-ark/contact-us/16-the-ark/overview/29-get-the-source-code	(from https://sphinx.org.au/the-ark/for-programmers)
14:24:33	12949/12949	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2003:24:33%20GMT	https://sphinx.org.au/the-ark/for-programmers/web-services	/home/adrianb/websites/The%20Ark/sphinx.org.au/the-ark/for-programmers/web-services.html	(from https://sphinx.org.au/the-ark/for-programmers)
14:24:34	69987/69987	---M--	200	added ('OK')	image/png	etag:%2211163-52d1e47988540%22	https://sphinx.org.au/images/ark/SPARK.png	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/ark/SPARK.png	(from https://sphinx.org.au/the-ark/spark)
14:24:36	2575/2575	---M-Z	200	added ('OK')	application/rss+xml	date:Fri,%2003%20Mar%202023%2003:24:36%20GMT	https://sphinx.org.au/the-ark/acknowledgements?format=feed&type=rss	/home/adrianb/websites/The%20Ark/sphinx.org.au/the-ark/acknowledgementsc0d0	(from https://sphinx.org.au/the-ark/acknowledgements)
14:24:36	381506/381506	---M--	200	added ('OK')	application/pdf	etag:%225d242-52d6cc0ec9000%22	https://sphinx.org.au/images/ark/SPARK_Genemappers_48x36.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/ark/SPARK_Genemappers_48x36.pdf	(from https://sphinx.org.au/the-ark/spark)
14:24:37	4363/4363	---M--	200	added ('OK')	application/atom+xml	date:Fri,%2003%20Mar%202023%2003:24:37%20GMT	https://sphinx.org.au/the-ark/acknowledgements?format=feed&type=atom	/home/adrianb/websites/The%20Ark/sphinx.org.au/the-ark/acknowledgements7b17	(from https://sphinx.org.au/the-ark/acknowledgements)
14:24:38	6564/6564	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2003:24:38%20GMT	https://sphinx.org.au/the-ark/acknowledgements/22-acknowledgements	/home/adrianb/websites/The%20Ark/sphinx.org.au/the-ark/acknowledgements/22-acknowledgements.html	(from https://sphinx.org.au/the-ark/acknowledgements)
14:24:39	6619/6619	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2003:24:39%20GMT	https://sphinx.org.au/the-ark/acknowledgements/21-to-acknowledge-the-ark	/home/adrianb/websites/The%20Ark/sphinx.org.au/the-ark/acknowledgements/21-to-acknowledge-the-ark.html	(from https://sphinx.org.au/the-ark/acknowledgements)
